Catégorie : Toutes catégories

Mois,data science: (États-Unis)
2004-01,17
2004-02,11
2004-03,7
2004-04,14
2004-05,17
2004-06,8
2004-07,5
2004-08,0
2004-09,9
2004-10,5
2004-11,14
2004-12,11
2005-01,17
2005-02,10
2005-03,7
2005-04,6
2005-05,5
2005-06,5
2005-07,7
2005-08,15
2005-09,6
2005-10,7
2005-11,6
2005-12,5
2006-01,7
2006-02,6
2006-03,4
2006-04,11
2006-05,8
2006-06,6
2006-07,7
2006-08,7
2006-09,8
2006-10,7
2006-11,8
2006-12,7
2007-01,8
2007-02,7
2007-03,7
2007-04,11
2007-05,5
2007-06,8
2007-07,9
2007-08,6
2007-09,11
2007-10,15
2007-11,12
2007-12,1
2008-01,9
2008-02,7
2008-03,7
2008-04,7
2008-05,7
2008-06,3
2008-07,4
2008-08,6
2008-09,8
2008-10,9
2008-11,9
2008-12,6
2009-01,9
2009-02,8
2009-03,7
2009-04,8
2009-05,4
2009-06,3
2009-07,7
2009-08,4
2009-09,9
2009-10,8
2009-11,8
2009-12,9
2010-01,9
2010-02,10
2010-03,8
2010-04,7
2010-05,5
2010-06,7
2010-07,4
2010-08,6
2010-09,12
2010-10,10
2010-11,10
2010-12,8
2011-01,8
2011-02,6
2011-03,9
2011-04,7
2011-05,7
2011-06,5
2011-07,5
2011-08,6
2011-09,9
2011-10,6
2011-11,11
2011-12,7
2012-01,10
2012-02,10
2012-03,8
2012-04,9
2012-05,7
2012-06,8
2012-07,6
2012-08,12
2012-09,16
2012-10,12
2012-11,13
2012-12,9
2013-01,12
2013-02,11
2013-03,11
2013-04,15
2013-05,13
2013-06,11
2013-07,9
2013-08,15
2013-09,17
2013-10,17
2013-11,16
2013-12,18
2014-01,22
2014-02,16
2014-03,19
2014-04,17
2014-05,24
2014-06,15
2014-07,15
2014-08,28
2014-09,28
2014-10,26
2014-11,22
2014-12,21
2015-01,33
2015-02,28
2015-03,32
2015-04,36
2015-05,36
2015-06,27
2015-07,29
2015-08,34
2015-09,46
2015-10,46
2015-11,33
2015-12,31
2016-01,42
2016-02,35
2016-03,39
2016-04,37
2016-05,35
2016-06,35
2016-07,35
2016-08,45
2016-09,54
2016-10,46
2016-11,45
2016-12,47
2017-01,60
2017-02,58
2017-03,58
2017-04,56
2017-05,58
2017-06,49
2017-07,54
2017-08,61
2017-09,66
2017-10,74
2017-11,69
2017-12,55
2018-01,71
2018-02,69
2018-03,70
2018-04,77
2018-05,68
2018-06,64
2018-07,62
2018-08,75
2018-09,80
2018-10,80
2018-11,71
2018-12,66
2019-01,86
2019-02,84
2019-03,78
2019-04,82
2019-05,76
2019-06,75
2019-07,69
2019-08,85
2019-09,98
2019-10,94
2019-11,82
2019-12,74
2020-01,93
2020-02,93
2020-03,74
2020-04,83
2020-05,78
2020-06,80
2020-07,81
2020-08,89
2020-09,100
2020-10,81
2020-11,67
2020-12,65
2021-01,73
2021-02,67
2021-03,68
2021-04,67
2021-05,69
2021-06,64
2021-07,59
2021-08,73
2021-09,85
2021-10,84
2021-11,76
2021-12,69
2022-01,76
