Catégorie : Toutes catégories

Semaine,Vaccin contre la COVID-19: (Dans tous les pays)
2021-01-10,52
2021-01-17,52
2021-01-24,47
2021-01-31,49
2021-02-07,49
2021-02-14,51
2021-02-21,56
2021-02-28,68
2021-03-07,77
2021-03-14,69
2021-03-21,68
2021-03-28,75
2021-04-04,75
2021-04-11,66
2021-04-18,64
2021-04-25,82
2021-05-02,74
2021-05-09,77
2021-05-16,77
2021-05-23,76
2021-05-30,78
2021-06-06,72
2021-06-13,68
2021-06-20,89
2021-06-27,62
2021-07-04,67
2021-07-11,71
2021-07-18,70
2021-07-25,73
2021-08-01,100
2021-08-08,71
2021-08-15,74
2021-08-22,68
2021-08-29,73
2021-09-05,53
2021-09-12,53
2021-09-19,47
2021-09-26,42
2021-10-03,30
2021-10-10,30
2021-10-17,30
2021-10-24,25
2021-10-31,26
2021-11-07,27
2021-11-14,26
2021-11-21,26
2021-11-28,30
2021-12-05,30
2021-12-12,44
2021-12-19,27
2021-12-26,26
2022-01-02,31
